#
#	Japanese NetHack Copyright (c) Issei Numata 1994 
#	JNetHack may be freely redistributed.  See license for details. 
#
#	English -> Japanese objects transfer table
#
#	missiles
#
)arrow:			矢:
]orcish helm:		オークの兜:
]iron skull cap:	鉄の帽子:
]dwarvish iron helm:	ドワーフの鉄兜:
]hard hat:		固い帽子:
]fedora:		フィドーラ:
]cornuthaum:		とんがり帽子:
]conical hat:		円錐形の帽子:
]dunce cap:		低能帽:
]dented pot:		くぼんだ鍋:
]helmet:		兜:
]plumed helmet:		羽兜:
]helm of brilliance:	知性の兜:
]etched helmet:		模様入り兜:
]helm of opposite alignment:	逆属性の兜:
]crested helmet:	とさかの兜:
]helm of telepathy:	千里眼の兜:
]visored helmet:	面頬付きの兜:
# 追加 by Ooi Takefumi
]fire helmet:		炎の兜:
]red shiny helmet:	赤く光る兜:
#
]gray dragon scale mail:	灰色ドラゴンの鱗鎧:
]red dragon scale mail:		赤色ドラゴンの鱗鎧:
]white dragon scale mail:	白ドラゴンの鱗鎧:
]orange dragon scale mail:	オレンジドラゴンの鱗鎧:
]black dragon scale mail:	黒ドラゴンの鱗鎧:
]blue dragon scale mail:	青ドラゴンの鱗鎧:
]green dragon scale mail:	緑ドラゴンの鱗鎧:	
]yellow dragon scale mail:	黄色ドラゴンの鱗鎧:
]gray dragon scales:		灰色ドラゴンの鱗:
]red dragon scales:		赤色ドラゴンの鱗:
]white dragon scales:		白ドラゴンの鱗:
]orange dragon scales:		オレンジドラゴンの鱗:
]black dragon scales:		黒ドラゴンの鱗:
]blue dragon scales:		青ドラゴンの鱗:
]green dragon scales:		緑ドラゴンの鱗:
]yellow dragon scales:		黄色ドラゴンの鱗:
# 追加 by Ooi Takefumi
]silver dragon scale mail:	銀色ドラゴンの鱗鎧:
]shimmering dragon scale mail:	光竜の鱗鎧:
]deep dragon scale mail:	暗黒竜の鱗鎧:
]silver dragon scales:		銀色ドラゴンの鱗:
]shimmering dragon scales:	光竜の鱗:
]deep dragon scales:		暗黒竜の鱗:
#
]plate mail:		鋼鉄の鎧:
]crystal plate mail:	水晶の鎧:
]bronze plate mail:	青銅の鎧:
]splint mail:		鉄片の鎧:
]banded mail:		帯金の鎧:
]dwarvish mithril-coat:	ドワーフのミスリル服:
]elven mithril-coat:	エルフのミスリル服:
]chain mail:		鎖かたびら:
]orcish chain mail:	オークの鎖かたびら:
]crude chain mail:	粗末な鎖かたびら:
]scale mail:		鱗の鎧:
]studded leather armor:	鋲付き皮鎧:
]ring mail:		鉄環の鎧:
]orcish ring mail:	オークの鉄環の鎧:
]crude ring mail:	粗末な鉄環の鎧:
]leather armor:		皮鎧:
]leather jacket:	皮の服:
]sailor blouse:		セーラー服:
# 追加 by Ooi Takefumi
]dark elven mithril-coat:	ダークエルフのミスリル服:
]asbestos jacket:	石綿の服:
]silver jacket:		銀色の服:
]robe:			ローブ:
]red robe:		赤いローブ:
]robe of protection:	守りのローブ:
]blue robe:		青いローブ:
]robe of power:		力のローブ:
]orange robe:		オレンジ色のローブ:
]robe of weakness:	脆弱のローブ:
]green robe:		緑のローブ:
]white coat:		白いコート:
#
#	cloaks
#
]mummy wrapping:	ミイラの包帯:
]elven cloak:		エルフのクローク:
]faded pall:		陰気な外套:
]orcish cloak:		オークのクローク:
]coarse mantelet:	粗末なマント:
]dwarvish cloak:	ドワーフのクローク:
]hooded cloak:		フードつきのクローク:
]oilskin cloak:		防水クローク:
]slippery cloak:	つるつるしたクローク:
]cloak of protection:	守りのクローク:
]tattered cape:		ぼろぼろのケープ:
]cloak of invisibility:	透明のクローク:
]opera cloak:		オペラクローク:
]cloak of magic resistance:	魔法を防ぐクローク:
]ornamental cope:	装飾用の外套:
]cloak of displacement:	幻影のクローク:
]piece of cloth:	布切れ:
# 追加 by Ooi Takefumi
]lab coat:		実験室のコート:
]white coat:		白いコート:
]cloak of drain resistance:	耐レベルドレインのクローク:
]gleaming cloak:	かすかに光るクローク:
]cloak of poisonousness:	服毒のクローク:
]sickly cloak:		悪臭のするクローク:
#
#	shields
#
]small shield:		小さな盾:
]elven shield:		エルフの盾:
]blue and green shield:	青と緑の盾:
]Uruk-hai shield:	ウルク・ハイの盾:
]white-handed shield:	白の手の盾:
]orcish shield:		オークの盾:
]red-eyed shield:	赤い目の盾:
]large shield:		大きな盾:
]dwarvish roundshield:	ドワーフの丸盾:
]large round shield:	大きな丸盾:
]shield of reflection:	反射の盾:
]polished silver shield:	銀色の磨かれた盾:
]Hawaiian shirt:		アロハシャツ:
]T-shirt:		Ｔシャツ:
#
#	gloves
#
]leather gloves:	皮の手袋:
]old gloves:		古い手袋:
]gauntlets of fumbling:	お手玉の小手:
]padded gloves:		詰めもののある手袋:
]gauntlets of power:	力の小手:
]riding gloves:		乗馬用の手袋:
]gauntlets of dexterity:	器用さの小手:
]fencing gloves:	フェンシングの小手:
# 追加 by Ooi Takefumi
]gauntlets of swimming:	水泳の小手:
]black gloves:		黒い手袋:
#
#	boots
#
]low boots:		かかとの低い靴:
]walking shoes:		散歩用の靴:
]iron shoes:		鉄の靴:
]hard shoes:		固い靴:
]high boots:		かかとの高い靴:
]jackboots:		軍隊靴:
]speed boots:		韋駄天の靴:
]combat boots:		戦闘靴:
]water walking boots:	水上歩行の靴:
]jungle boots:		ジャングルの靴:
]jumping boots:		飛び跳ねる靴:
]hiking boots:		ハイキングの靴:
]elven boots:		エルフの靴:
]mud boots:		ドロだらけの靴:
]fumble boots:		つまずきの靴:
]riding boots:		乗馬用の靴:
]levitation boots:	浮遊の靴:
]snow boots:		雪靴:
# 追加 by Ooi Takefumi
]kicking boots:		キック用の靴:
]steel boots:		鋼鉄の靴:
#
#	rings
#
=adornment:		飾りの指輪:
=gain strength:		強さの指輪:
=increase damage:	攻撃の指輪:
=protection:		守りの指輪:
=regeneration:		回復の指輪:
=searching:		探索の指輪:
=stealth:		忍びの指輪:
=levitation:		浮遊の指輪:
=hunger:		飢餓の指輪:
=aggravate monster:	反感の指輪:
=conflict:		争いの指輪:
=warning:		警告の指輪:
=poison resistance:	耐毒の指輪:
=fire resistance:	耐炎の指輪:
=cold resistance:	耐冷の指輪:
=shock resistance:	耐衝撃の指輪:
=teleportation:		瞬間移動の指輪:
=teleport control:	瞬間移動制御の指輪:
=polymorph:		変化の指輪:
=polymorph control:	変化制御の指輪:
=invisibility:		透明の指輪:
=see invisible:		可視の指輪:
=protection from shape changers:	耐変化怪物の指輪:
# 追加 by Ooi Takefumi
=gain constitution:	耐久の指輪:
=gain intelligence:	知性の指輪:
=gain wisdom:		賢さの指輪:
=gain dexterity:	器用さの指輪:
=sleeping:		眠りの指輪:
=drain resistance:	耐レベルドレインの指輪:
=free action:		フリーアクションの指輪:
#
=wooden:	木の指輪:
=granite:	花崗岩の指輪:
=coral:		珊瑚の指輪:
=black onyx:	黒めのうの指輪:
=moonstone:	月長石の指輪:
=tiger eye:	虎目石の指輪:
=jade:		ひすいの指輪:
=agate:		めのうの指輪:
=topaz:		トパーズの指輪:
=sapphire:	サファイアの指輪:
=ruby:		ルビーの指輪:
=diamond:	ダイアモンドの指輪:
=pearl:		真珠の指輪:
=iron:		鉄の指輪:
=brass:		真鍮の指輪:
=copper:	銅の指輪:
=silver:	銀の指輪:
=gold:		金の指輪:
=ivory:		象牙の指輪:
=emerald:	エメラルドの指輪:
=wire:		針金の指輪:
=engagement:	婚約指輪:
=shiny:		光る指輪:
# 追加 by Ooi Takefumi
=opal:		オパールの指輪:
=plain:		簡素な指輪:
=glass:		ガラスの指輪:
=obsidian:	黒曜石の指輪:
=wedding:	結婚式用の指輪:
=black:		黒い指輪:
=twisted:	ねじれた指輪:
#
#	amulets
#
"amulet of ESP:			遠視の魔除け:
"amulet of life saving:		命の魔除け:
"amulet of strangulation:	絞殺の魔除け:
"amulet of restful sleep:	安眠の魔除け:
"amulet versus poison:		耐毒の魔除け:
"amulet of change:		性転換の魔除け:
"amulet of reflection:		反射の魔除け:
"amulet of magical breathing:	魔法の呼吸の魔除け:
# 追加 by Ooi Takefumi
"amulet of drain resistance:	耐レベルドレインの魔除け:
"amulet of regeneration:	再生の魔除け:
"amulet of conflict:		争いの魔除け:
"amulet of polymorph:		変化の魔除け:
#
"circular:	丸い魔除け:
"spherical:	球の魔除け:
"oval:		卵型の魔除け:
"triangular:	三角形の魔除け:
"pyramidal:	四角錐の魔除け:
"square:	四角の魔除け:
"hexagonal:	六角形の魔除け:
"octagonal:	八角形の魔除け:
"cheap plastic imitation of the Amulet of Yendor:偽物のイェンダーの魔除け:
"Amulet of Yendor:	イェンダーの魔除け:
# 追加 by Ooi Takefumi
"warped:	歪んだ魔除け:
"twisted:	ねじれた魔除け:
"concave:	くぼんだ魔除け:
"lunate:	三日月形の魔除け:
#
#	containers
#
(large box:	大きな箱:
(chest:		宝箱:
(ice box:	アイスボックス:
(sack:		袋:
(oilskin sack:	防水袋:
(bag of holding:	保存の鞄:
(bag of tricks:	トリックの鞄:
(bag:		鞄:
# 追加 by Ooi Takefumi
(medical bag:	医療鞄:
#
#	lock opening tools
#
(skeleton key:	万能鍵:
(key:		鍵:
(lock pick:	鍵開け器具:
(credit card:	クレジットカード:
#
#	light sources
#
(tallow candle:	獣脂のろうそく:
(candle:	ろうそく:
(wax candle:	蜜蝋のろうそく:
(brass lantern:	真鍮のランタン:
(oil lamp:	オイルランプ:
(lamp:		ランプ:
(magic lamp:	魔法のランプ:
(expensive camera:	高価なカメラ:
(mirror:	鏡:	
(looking glass:	ガラス:
(crystal ball:	水晶玉:
(glass orb:	ガラスの球:
(blindfold:	目隠し:
(towel:		タオル:
(leash:		紐:
(stethoscope:	聴診器:
(tinning kit:	缶詰作成道具:
(tin opener:	缶切り:
(can of grease:	脂の缶:
(figurine:	人形:
(magic marker:	魔法のマーカ:
# 追加 by Ooi Takefumi
(magic candle:	魔法のろうそく:
(orb of enchantment:	強化のオーブ:
(orb of charging:	充填のオーブ:
(orb of destruction:	破壊のオーブ:
(medical kit:	医療道具一式:
(leather bag:	革製の鞄:
#
#	instruments
#
(tin whistle:	ブリキの笛:
(whistle:	笛:	
(magic whistle:	魔法の笛:
(wooden flute:	木のフルート:
(flute:		フルート:
(magic flute:	魔法のフルート:
(tooled horn:	細工のほどこされたホルン:
(horn:		ホルン:
(frost horn:	吹雪のホルン:
(fire horn:	炎のホルン:
(horn of plenty:	恵みのホルン:
(wooden harp:	木の竪琴:
(harp:		竪琴:
(magic harp:	魔法の竪琴:
(bell:		ベル:
(bugle:		ラッパ:
(leather drum:	皮の太鼓:
(drum:		太鼓:
(drum of earthquake:	地震の太鼓:
(land mine:	地雷:
(beartrap:	熊の罠:
# 追加 by Ooi Takefumi
(pan pipe of summoning:	召喚のパイプ:
(set of pipes:		導管一式:
(pan pipe of the sewers:下水道のパイプ:
(pan pipe:		パイプ:
#
#	tools useful as weapons
#
(pick-axe:	つるはし:
(unicorn horn:	ユニコーンの角:
#
#	special tools
#
(Candelabrum of Invocation:	祈りの燭台:
(candelabrum:			燭台:
(Bell of Opening:		開放のベル:
(silver bell:			銀のベル:
#
#	meat
#
%tripe ration:	乾し肉:
%corpse:	死体:
%egg:		卵:
#
#	fruits & veggies
#
%apple:		りんご:
%orange:	オレンジ:
%pear:		洋ナシ:
%melon:		メロン:
%banana:		バナナ:
%carrot:		にんじん:
%sprig of wolfsbane:	トリカブト:
%clove of garlic:	にんにく:
%slime mold:		ねばねばカビ:
%slice of pizza:	ピザ:
# 追加 by Ooi Takefumi
%asian pear:	アジア産ナシ:
%mushroom:	キノコ:
%holy wafer:		聖餅:
%eyeball:		眼球:
%severed hand:		重い手:
#
#	human food
#
%lump of royal jelly:	ロイヤルゼリー:
%cream pie:		クリームパイ:
%candy bar:		キャンディ:
%fortune cookie:	占いクッキー:
%pancake:		パンケーキ:
%lembas wafer:		レンバス:
%cram ration:		クラム:
%food ration:		食料:
%K-ration:		Ｋレーション:
%C-ration:		Ｃレーション:
%tin:			缶:
# 追加 by Ooi Takefumi
%sandwich:		サンドイッチ:
%tortilla:		トルティーヤ:
%cheese:		チーズ:
%pill:			ピル:
#
#	potions
#
!gain ability:		能力獲得の薬:
!restore ability:	能力回復の薬:
!confusion:		混乱の薬:
!blindness:		盲目の薬:
!paralysis:		麻痺の薬:
!speed:			早くなる薬:
!levitation:		浮遊の薬:
!hallucination:		幻覚の薬:
!invisibility:		透明になる薬:
!see invisible:		可視の薬:
!healing:		回復の薬:
!extra healing:		超回復の薬:
!gain level:		レベルアップの薬:
!enlightenment:		啓蒙の薬:
!monster detection:	怪物を探す薬:
!object detection:	物体を探す薬:
!gain energy:		魔力の薬:
!booze:			酔っぱらいの薬:
!sickness:		病気の薬:
!fruit juice:		フルーツジュース:
!water:			水:
!oil:			油:
# 追加 by Ooi Takefumi
!sleeping:		眠りの薬:
!full healing:		完全回復の薬:
!polymorph:		変化の薬:
!clairvoyance:		千里眼の薬:
!ESP:			遠視の薬:
!fire resistance:	耐火の薬:
!invulnerability:	不死身の薬:
#
!ruby:			ルビー色の薬:
!pink:			ピンク色の薬:
!orange:		オレンジ色の薬:
!yellow:		黄色の薬:
!emerald:		エメラルド色の薬:
!dark green:		暗緑色の薬:
!cyan:			シアン色の薬:
!sky blue:		水色の薬:
!brilliant blue:	明るい青色の薬:
!magenta:		マゼンダ色の薬:
!purple-red:		赤紫色の薬:
!puce:			暗褐色の薬:
!milky:			ミルク色の薬:
!swirly:		渦を巻いている薬:
!bubbly:		泡だっている薬:
!smoky:			煙がでている薬:
!cloudy:		曇っている薬:
!brown:			茶色の薬:
!fizzy:			発泡している薬:
!dark:			陰気な色の薬:
!clear:			無色の薬:
!murky:			濃黒の薬:
# 追加 by Ooi Takefumi
!murky:			暗くて陰気な色の薬:
!black:			黒い薬:
!golden:		金色の薬:
!luminescent:		光る薬:
!muddy:			さえない色の薬:
!maroon:		くり色の薬:
!icy:			冷たそうな薬:
!viscous:		ねばり気のある薬:
#
#	scrolls
#
?enchant armor:		鎧に魔法をかける巻物:
?destroy armor:		鎧を破壊する巻物:
?confuse monster:	怪物を混乱させる巻物:
?scare monster:		怪物を怯えさせる巻物:
?remove curse:		解呪の巻物:
?enchant weapon:	武器に魔法をかける巻物:
?create monster:	怪物を作る巻物:
?taming:		怪物を飼いならす巻物:
?genocide:		虐殺の巻物:
?light:			光の巻物:
?teleportation:		瞬間移動の巻物:
?gold detection:	金貨を探す巻物:
?food detection:	食料を探す巻物:
?identify:		識別の巻物:
?magic mapping:		魔法の地図の巻物:
?amnesia:		記憶喪失の巻物:
?fire:			炎の巻物:
?punishment:		罰の巻物:
?charging:		充填の巻物:
?mail:			手紙の巻物:
?blank paper:		白紙の巻物:
# 追加 by Ooi Takefumi
?trap detection:	罠を探す巻物:
#
?ZELGO MER:		『へろへろっす』と書かれた巻物:
?JUYED AWK YACC:	『みゅーるねまくす』と書かれた巻物:
?NR 9:			『せぶんすぎょざー』と書かれた巻物:
?XIXAXA XOXAXA XUXAXA:	『いせっいたまぬ』と書かれた巻物:
?PRATYAVAYAH:		『おろかぶー』と書かれた巻物:
?DAIYEN FOOELS:		『あらほらさっさ』と書かれた巻物:
?LEP GEX VEN ZEA:	『ちんとんしゃん』と書かれた巻物:
?PRIRUTSENIE:		『げろげーろ』と書かれた巻物:
?ELBIB YLOH:		『ろんやっくまーん』と書かれた巻物:
?VERR YED HORRE:	『しょっくばいまん』と書かれた巻物:
?VENZAR BORGAVVE:	『おーくすだーびー』と書かれた巻物:
?THARR:			『かねかねかね』と書かれた巻物:
?YUM YUM:		『ふっしろうとが』と書かれた巻物:
?KERNOD WEL:		『くっくー』と書かれた巻物:
?ELAM EBOW:		『じゃいすと』と書かれた巻物:
?DUAM XNAHT:		『でぃきゅーえむえる』と書かれた巻物:
?ANDOVA BEGARIN:	『どっくりびんきー』と書かれた巻物:
?VE FORBRYDERNE:	『すてーきみゃ』と書かれた巻物:
?HACKEM MUCHE:		『じゃいしょく』と書かれた巻物:
?VELOX NEB:		『ちゃんぴお〜ん』と書かれた巻物:
?FOOBIE BLETCH:		『ほえほえ』と書かれた巻物:
?TEMOV:			『ぽちっとな』と書かれた巻物:
?GARVEN DEH:		『しびびんしびびん』と書かれた巻物:
?READ ME:		『うしろをみろ』と書かれた巻物:
?KIRJE:			『よしのやぎゅどーん』と書かれた巻物:
?stamped:		消印の押された巻物:
?unlabeled:		ラベルのない巻物:
# 追加 by Ooi Takefumi
?SKCUS LAVUY:		『つきにかわっておしおっき』と書かれた巻物:
#
#	spellbooks
#
+dig:			穴掘りの魔法書:
+magic missile:		魔法の矢の魔法書:
+fireball:		火の玉の魔法書:
+cone of cold:		冷気の魔法書:
+sleep:			眠りの魔法書:
+finger of death:	死の指の魔法書:
+light:			光の魔法書:
+detect monsters:	怪物を探す魔法書:
+healing:		回復の魔法書:
+knock:			開錠の魔法書:
+force bolt:		衝撃の魔法書:
+confuse monster:	怪物を混乱させる魔法書:
+cure blindness:	盲目を癒す魔法書:
+slow monster:		怪物を遅くする魔法書:
+wizard lock:		施錠の魔法書:
+create monster:	怪物を造る魔法書:	
+detect food:		食料を探す魔法書:
+cause fear:		恐怖の魔法書:
+clairvoyance:		千里眼の魔法書:
+cure sickness:		病気を癒す魔法書:
+charm monster:		怪物を魅了する魔法書:
+haste self:		素早さの魔法書:
+detect unseen:		見えないものを探す魔法書:
+levitation:		浮遊の魔法書:
+extra healing:		超回復の魔法書:
+restore ability:	能力回復の魔法書:
+invisibility:		透明の魔法書:
+detect treasure:	宝を探す魔法書:
+remove curse:		呪いを解く魔法書:
+magic mapping:		魔法の地図の魔法書:
+identify:		識別の魔法書:
+turn undead:		死人がえしの魔法書:
+polymorph:		変化の魔法書:
+teleport away:		瞬間移動の魔法書:
+create familiar:	使い魔を造る魔法書:
+cancellation:		無力化の魔法書:
# 追加 by Ooi Takefumi
+resist poison:		耐毒の魔法書:
+resist sleep:		耐眠の魔法書:
+endure heat:		耐熱の魔法書:
+endure cold:		耐冷の魔法書:
+insulate:		耐ショックの魔法書:
+enlighten:		啓蒙の魔法書:
+summon undead:		アンデット召喚の魔法書:
+command undead:	アンデットを飼い慣らす魔法書:
+enchant weapon:	武器強化の魔法書:
+enchant armor:		防具強化の魔法書:
#
+parchment:	洋皮紙の魔法書:
+vellum:	子牛皮の魔法書:
+ragged:	ぼろぼろの魔法書:
+dog eared:	ページの折られた魔法書:
+mottled:	まだらの魔法書:
+stained:	よごれた魔法書:
+cloth:		布地の魔法書:
+leather:	皮の魔法書:
+white:		白い魔法書:
+pink:		ピンク色の魔法書:
+red:		赤い魔法書:
+orange:	オレンジ色の魔法書:
+yellow:	黄色い魔法書:
+light green:	淡緑色の魔法書:
+dark green:	濃緑色の魔法書:
+turquoise:	青緑色の魔法書:
+cyan:		シアン色の魔法書:
+light blue:	淡青の魔法書:
+dark blue:	濃青の魔法書:
+indigo:	藍色の魔法書:
+magenta:	マゼンダ色の魔法書:
+purple:	紫色の魔法書:
+violet:	スミレ色の魔法書:
+tan:		黄褐色の魔法書:
+plaid:		ラシャの魔法書:
+light brown:	淡茶色の魔法書:
+dark brown:	濃茶色の魔法書:
+gray:		灰色の魔法書:
+white:		白の魔法書:
+dusty:		ほこりっぽい魔法書:
+bronze:	青銅の魔法書:
+copper:	銅の魔法書:
+silver:	銀の魔法書:
+gold:		金の魔法書:
+glittering:	きらびらかな魔法書:
+shining:	輝く魔法書:
+dull:		さえない色の魔法書:
+thin:		薄い色の魔法書:
+thick:		濃い色の魔法書:
+plain:		真っ白な魔法書:
+Book of the Dead:	死者の書:
+papyrus:	パピルスの魔法書:
+blank paper:		白紙の魔法書:
+wrinkled:	くしゃくしゃの魔法書:
# 追加 by Ooi Takefumi
+big:		大きな魔法書:
+fuzzy:		けば立った魔法書:
+wide:		幅の広い魔法書:
+deep:		厚い魔法書:
+long:		長い魔法書:
+faded:		色あせた魔法書:
+black:		黒い魔法書:
+dark:		黒ずんだ魔法書:
+dull:		軟らかい魔法書:
+thin:		薄い魔法書:
#
#	wands
#
/light:			光の杖:
/secret door detection:	秘密の扉探索の杖:
/create monster:	怪物を造る杖:
/wishing:		願いの杖:
/nothing:		単なる杖:
/striking:		衝撃の杖:
/make invisible:	透明にする杖:
/slow monster:		遅くする杖:
/speed monster:		早くする杖:
/undead turning:	死人がえしの杖:
/polymorph:		変化の杖:
/cancellation:		無力化の杖:
/teleportation:		瞬間移動の杖:
/opening:		開錠の杖:
/locking:		施錠の杖:
/probing:		探査する杖:
/digging:		穴掘りの杖:
/magic missile:		魔法の矢の杖:
/fire:			炎の杖:
/cold:			吹雪の杖:
/sleep:			眠りの杖:
/death:			死の杖:
/lightning:		雷の杖:
# 追加 by Ooi Takefumi
/enlightenment:		啓蒙の杖:
/create horde:		大群の杖:
/fear:			恐怖の杖:
/healing:		回復の杖:
/extra healing:		超回復の杖:
/fireball:		火球の杖:
#
/glass:		ガラスの杖:
/balsa:		バルサの杖:
/maple:		楓の杖:
/pine:		松の杖:
/oak:		樫の杖:
/ebony:		黒檀の杖:
/marble:	大理石の杖:
/tin:		ブリキの杖:
/brass:		真鍮の杖:
/copper:	銅の杖:
/silver:	銀の杖:
/platinum:	プラチナの杖:
/iridium:	イリジウムの杖:
/zinc:		亜鉛の杖:
/aluminum:	アルミニウムの杖:
/uranium:	ウラニウムの杖:
/iron:		鉄の杖:
/steel:		鋼鉄の杖:
/hexagonal:	六角形の杖:
/short:		短い杖:
/runed:		神秘的な杖:
/long:		長い杖:
/curved:	曲った杖:
/forked:	二叉の杖:
/spiked:	くさびの打ちつけられた杖:
/jeweled:	宝石が埋められた杖:
# 追加 by Ooi Takefumi
/crystal:	水晶の杖:
/black:		黒い杖:
/rusty:		さびついた杖:
/bamboo:	竹の杖:
/bronze:	青銅の杖:
/octagonal:	八角形の杖:
#
#	gold
#
$gold piece:	ゴールド:
$gold pieces:	ゴールド:
#
#	gems & rocks
#
*dilithium crystal:	ディリジウムの結晶:
*white:		白い宝石:
*diamond:	ダイヤモンド:
*ruby:		ルビー:
*red:		赤い宝石:
*sapphire:	サファイア:
*blue:		青い宝石:
*emerald:	エメラルド:
*turquoise:	トルコ石:
*aquamarine:	アクアマリン:
*green:		緑の宝石:
*amber:		琥珀:
*yellowish brown:	茶褐色の宝石:
*topaz:		トパーズ:
*opal:		オパール:
*garnet:	ガーネット:
*amethyst:	アメジスト:
*violet:	紫の宝石:
*jasper:	ジャスパー:
*fluorite:	フルオライト:
*jade:		ひすい:
*worthless piece of white glass:	白いガラス:
*worthless piece of blue glass:		青いガラス:
*worthless piece of red glass:		赤いガラス:
*worthless piece of yellowish brown glass:	茶褐色のガラス:
*worthless piece of green glass:	緑のガラス:
*worthless piece of violet glass:	紫のガラス:
# 追加 by Ooi Takefumi
*jacinth:	ジャシンス:
*orange:	オレンジ色の宝石:
*black opal:	黒オパール:
*black:		黒い宝石:
*citrine:	黄水晶:
*yellow:	黄色い宝石:
*jet:		貝褐炭:
*chrysoberyl:	クリソベリル:
*obsidian:	黒曜石:
*agate:		めのう:
*worthless piece of orange glass:	オレンジ色のガラス:
*worthless piece of yellow glass:	黄色いガラス:
*worthless piece of black glass:	黒いガラス:
#
*luckstone:	幸せの石:
*gray:		灰色の宝石:
*loadstone:	重し:
